"writerNameLabel","birthPlaceLabel","nationalityLabel","deathPlaceLabel"
"Rabindranath Tagore","Kolkata","British Raj","Calcutta"
"Premchand","Benares State","Indian people","Benares State"
"Dick Francis","Pembrokeshire","British nationality law","Caribbean"
"Premchand","British Raj","Indian people","Benares State"
"Premchand","Lamhi","Indian people","Benares State"
"Dick Francis","Lawrenny","British nationality law","Caribbean"
"Josef Svatopluk Machar","Austrian Empire","Czechs","Protectorate of Bohemia and Moravia"
"Josef Svatopluk Machar","Kingdom of Bohemia","Czechs","Protectorate of Bohemia and Moravia"
"Josef Svatopluk Machar","Kolín","Czechs","Protectorate of Bohemia and Moravia"
"Lily Braun","Province of Saxony","Germans","Province of Brandenburg"
"Mykhailo Drahomanov","Russian Empire","Ukrainians","Principality of Bulgaria"
"Mykhailo Drahomanov","Hadiach","Ukrainians","Principality of Bulgaria"
"Lily Braun","Halberstadt","Germans","Province of Brandenburg"
"Mykhailo Drahomanov","Poltava Governorate","Ukrainians","Principality of Bulgaria"
"Lily Braun","Kingdom of Prussia","Germans","Province of Brandenburg"
"Jindřich Veselý","Bavorov","Czechs","Protectorate of Bohemia and Moravia"
"Jindřich Veselý","Bohemia","Czechs","Protectorate of Bohemia and Moravia"
"Jindřich Veselý","Austrian Empire","Czechs","Protectorate of Bohemia and Moravia"
"Sayat-Nova","Safavid Iran","Armenians","Qajar Iran"
"Sayat-Nova","Tbilisi","Armenians","Qajar Iran"
"Sayat-Nova","Kingdom of Kartli","Armenians","Qajar Iran"
"Ahmad al-Muhsini","Medina","Eastern Arabia","Qajar Iran"
"Ahmad al-Muhsini","Medina","Qajar Iran","Qajar Iran"
"Ahmad al-Muhsini","Ottoman Empire","Eastern Arabia","Qajar Iran"
"Ahmad al-Muhsini","Ottoman Empire","Qajar Iran","Qajar Iran"
"Ahmad al-Muhsini","Habesh Eyalet","Eastern Arabia","Qajar Iran"
"Ahmad al-Muhsini","Habesh Eyalet","Qajar Iran","Qajar Iran"
"Zenobia Camprubí","Malgrat de Mar","Spanish people","Puerto Rico"
"Zenobia Camprubí","Spain","Spanish people","Puerto Rico"
"Besiki","Tbilisi","Georgians","Romania"
"Besiki","Kingdom of Kartli","Georgians","Romania"
"Virgil","Roman Republic","Roman Empire","Roman Empire"
"Virgil","Virgilio, Lombardy","Roman Empire","Roman Empire"
"Virgil","Cisalpine Gaul","Roman Empire","Roman Empire"
"Masaccio","San Giovanni Valdarno","Italy","Rome"
"Masaccio","Republic of Florence","Italy","Rome"
"Elio Pagliarani","Viserba","Italy","Rome"
"Gabriel Fabricy","Saint-Maximin, Gard","France","Rome"
"Gabriel Fabricy","Kingdom of France","France","Rome"
"Jenő Dsida","Romania","Hungarian people","Romania"
"Jenő Dsida","Satu Mare","Hungarian people","Romania"
"Jenő Dsida","Austria-Hungary","Hungarian people","Romania"
"Plautus","Roman Republic","Roman Republic","Roman Republic"
"Plautus","Sarsina","Roman Republic","Roman Republic"
"Giovanni Vincenzo Gravina","Roggiano Gravina","Italy","Rome"
"Girolamo Aleandro, the younger","Republic of Venice","Italy","Rome"
"Girolamo Aleandro, the younger","Motta di Livenza","Italy","Rome"
"Giovanni Mario Crescimbeni","Macerata","Italy","Rome"
"Giovanni Mario Crescimbeni","Papal States","Italy","Rome"
"Giovanni Vincenzo Gravina","Kingdom of Naples","Italy","Rome"
"Antonio Porta (author)","Vicenza","Italy","Rome"
"Horace","Roman Republic","Roman Republic","Rome"
"Horace","Venosa","Roman Republic","Rome"
"Horace","Italy (Roman Empire)","Roman Republic","Rome"
"Bartolomeo Tortoletti","Republic of Venice","Italy","Rome"
"Bartolomeo Tortoletti","Verona","Italy","Rome"
"Nicola Serena di Lapigio","Altamura","Kingdom of Italy","Rome"
"Nicola Serena di Lapigio","Italy","Kingdom of Italy","Rome"
"Dora Melegari","Lausanne","Switzerland","Rome"
"Plautus","Roman Republic","Roman Republic","Rome"
"Plautus","Sarsina","Roman Republic","Rome"
"Tommaso Stigliani","Matera","Naples","Rome"
"Tommaso Stigliani","Kingdom of Naples","Naples","Rome"
"Muhammad Said Al Amudi","Mecca","Ottoman Empire","Saudi Arabia"
"Muhammad Said Al Amudi","Ottoman Empire","Ottoman Empire","Saudi Arabia"
"Muhammad Said Al Amudi","Hejaz vilayet","Ottoman Empire","Saudi Arabia"
"James Barke","Scotland","Scotland","Scotland"
"Katherine Whyte Grant","Bonawe","Scotland","Scotland"
"James Barke","Galashiels","Scotland","Scotland"
"Winifred Duke","England","England","Scotland"
"Winifred Duke","Liverpool","England","Scotland"
"Ahmad Qandil","Ottoman Empire","Ottoman Empire","Saudi Arabia"
"Ahmad Qandil","Hejaz vilayet","Ottoman Empire","Saudi Arabia"
"Ahmad Qandil","Jeddah","Ottoman Empire","Saudi Arabia"
"Winifred Duke","Lancashire","England","Scotland"
"Dorita Fairlie Bruce","Palos de la Frontera","People of Scotland","Scotland"
"Dorita Fairlie Bruce","Spain","People of Scotland","Scotland"
"Yakup Kulmiy","Russia","Bashkir people","Bashkortostan"
"Abraham Alewijn","Amsterdam","Netherlands","Batavia, Dutch East Indies"
"Yakup Kulmiy","Ishimbaysky District","Bashkir people","Bashkortostan"
"Hienadz Kliauko","Republic of Belarus","Belarusians","Belarus"
"Hienadz Kliauko","Pukhavichy District","Belarusians","Belarus"
"Aliaksei Karpiuk","Straszewo, Podlaskie Voivodeship","Belarusians","Belarus"
"Aliaksei Karpiuk","Gródek, Białystok County","Belarusians","Belarus"
"Aliaksei Karpiuk","Poland","Belarusians","Belarus"
"Hienadz Kliauko","Minsk Voblast","Belarusians","Belarus"
"Paul Fredericq","Belgium","Belgians","Belgium"
"Paul Fredericq","Ghent","Belgians","Belgium"
"Bazilije Pandžić","Condominium of Bosnia and Herzegovina","Croats","Bosnia and Herzegovina"
"Bazilije Pandžić","Austria-Hungary","Croats","Bosnia and Herzegovina"
"Bazilije Pandžić","Drinovci","Croats","Bosnia and Herzegovina"
"Paul Fredericq","East Flanders","Belgians","Belgium"
"Siegfried van Praag","Amsterdam","Netherlands","Belgium"
"Siegfried van Praag","Netherlands","Netherlands","Belgium"
"Alexis Guedroitz","Pančevo","Belgians","Belgium"
"Alexis Guedroitz","Serbia","Belgians","Belgium"
"Ahmet Hromadžić","Kingdom of Serbs, Croats and Slovenes","Bosniak","Bosnia and Herzegovina"
"Ahmet Hromadžić","Bjelaj, Bosanski Petrovac","Bosniak","Bosnia and Herzegovina"
"Hermann Sudermann","Šilutė District Municipality","Germany","Berlin, Germany"
"Rabindranath Tagore","Bengal Presidency","British Raj","Bengal Presidency"
"Rabindranath Tagore","British Raj","British Raj","Bengal Presidency"
"Rabindranath Tagore","West Bengal","British Raj","Bengal Presidency"
"Rabindranath Tagore","India","British Raj","Bengal Presidency"
"Rabindranath Tagore","Kolkata","British Raj","Bengal Presidency"
"Primavera das Neves","Pedrógão Grande","Portuguese people","Brazil"
"Francis Hackett","Ireland","Republic of Ireland","Denmark"
"Francis Hackett","Kilkenny","Republic of Ireland","Denmark"
"Jane Aamund","Denmark","Denmark","Denmark"
"Karen Aabye","Copenhagen","Danes","Denmark"
"Jane Aamund","Frederiksberg","Denmark","Denmark"
"Laura Kieler","Tromsø","Norwegians","Denmark"
"Laura Kieler","Tromsø","Danish people","Denmark"
"Laura Kieler","Norway","Norwegians","Denmark"
"Laura Kieler","Norway","Danish people","Denmark"
"Péter Esterházy","Hungarian People's Republic","Hungarians","Hungary"
"Péter Esterházy","Budapest","Hungarians","Hungary"
"Ferenc Kazinczy","Romania","Hungarian people","Hungary"
"Ferenc Kazinczy","Bihar County","Hungarian people","Hungary"
"Ferenc Kazinczy","Hungary","Hungarian people","Hungary"
"Ferenc Kazinczy","Șimian, Bihor","Hungarian people","Hungary"
"Jamal Naji","West Bank","Jordanian people","Jordan"
"Jakov Xoxa","Albania","Albania","Hungary"
"Jakov Xoxa","Fier","Albania","Hungary"
"Jamal Naji","Aqbat Jaber","Jordanian people","Jordan"
"Ferenc Kazinczy","Érsemjén","Hungarian people","Hungary"
"Dimitar Talev","Prilep","Bulgaria","People's Republic of Bulgaria"
"Jerzy Szaniawski","Vistula Land","Poland","People's Republic of Poland"
"Zofia Kossak-Szczucka","Congress Poland","Poles","People's Republic of Poland"
"Zofia Kossak-Szczucka","Russian Empire","Poles","People's Republic of Poland"
"Jerzy Szaniawski","Russian Empire","Poland","People's Republic of Poland"
"Jerzy Szaniawski","Zegrzynek","Poland","People's Republic of Poland"
"Dimitar Talev","Ottoman Empire","Bulgaria","People's Republic of Bulgaria"
"Zofia Kossak-Szczucka","Kośmin, Lublin Voivodeship","Poles","People's Republic of Poland"
"Gabriello Chiabrera","Savona","Italy","Republic of Genoa"
"Gabriello Chiabrera","Republic of Genoa","Italy","Republic of Genoa"
"Máire MacNeill","County Dublin","Irish people","Republic of Ireland"
"Ulick O'Connor","County Dublin","Ireland","Republic of Ireland"
"Anthony Cronin","County Wexford","Irish people","Republic of Ireland"
"Anthony Cronin","Enniscorthy","Irish people","Republic of Ireland"
"Máire MacNeill","Ireland","Irish people","Republic of Ireland"
"Ulick O'Connor","Irish Free State","Ireland","Republic of Ireland"
"Anthony Cronin","Irish Free State","Irish people","Republic of Ireland"
"Ulick O'Connor","Rathgar","Ireland","Republic of Ireland"
"Félix Resurrección Hidalgo","Captaincy General of the Philippines","Filipino people","Restoration (Spain)"
"Félix Resurrección Hidalgo","Binondo, Manila","Filipino people","Restoration (Spain)"
"Antonio Lupis","Molfetta","Italy","Republic of Venice"
"Félix Resurrección Hidalgo","Manila","Filipino people","Restoration (Spain)"
"Félix Resurrección Hidalgo","Spanish Empire","Filipino people","Restoration (Spain)"
"Antonio Lupis","Kingdom of Naples","Italy","Republic of Venice"
"Marin Držić","Republic of Ragusa","Croats","Republic of Venice"
"Nicholas Kalliakis","Heraklion","Greek people","Republic of Venice"
"Nicholas Kalliakis","Kingdom of Candia","Greek people","Republic of Venice"
"Nicholas Kalliakis","Venetian Empire","Greek people","Republic of Venice"
"Patrick Argüello","San Francisco","United States","United Kingdom"
"Richard McDonald Caunter","Penang","British people","United Kingdom of Great Britain and Ireland"
"Robert Scott (philologist)","United Kingdom","British people","United Kingdom"
"Richard McDonald Caunter","Presidencies and provinces of British India","British people","United Kingdom of Great Britain and Ireland"
"Samuel Okoye","Amawbia","Demographics of Nigeria","United Kingdom"
"Samuel Okoye","Nigeria","Demographics of Nigeria","United Kingdom"
"Robert Scott (philologist)","Bondleigh","British people","United Kingdom"
"Mai Ghoussoub","Beirut","Lebanese nationality law","United Kingdom"
"George Henry Caunter","Devon","British people","United Kingdom of Great Britain and Ireland"
"Angus MacPhail","United Kingdom","English people","United Kingdom"
"Angus MacPhail","England","English people","United Kingdom"
"Angus MacPhail","London","English people","United Kingdom"
"Naji al-Ali","Mandatory Palestine","Palestinians","United Kingdom"
"Joseph Thomas James Hewlett","St Pancras, London","British people","United Kingdom of Great Britain and Ireland"
"Mai Ghoussoub","Lebanon","Lebanese nationality law","United Kingdom"
"George Henry Caunter","Dittisham","British people","United Kingdom of Great Britain and Ireland"
"Naji al-Ali","Al-Shajara","Palestinians","United Kingdom"
"Joseph Thomas James Hewlett","Kingdom of Great Britain","British people","United Kingdom of Great Britain and Ireland"
"George Henry Caunter","Kingdom of Great Britain","British people","United Kingdom of Great Britain and Ireland"
"Joseph Thomas James Hewlett","Middlesex","British people","United Kingdom of Great Britain and Ireland"
"B. M. Idinabba","Puttur, Karnataka","India","Ullal"
"B. M. Idinabba","Uppinangady","India","Ullal"
"B. M. Idinabba","Karnataka","India","Ullal"
"Francis Smith (judge)","Freetown","British subject","United Kingdom of Great Britain and Ireland"
"Francis Smith (judge)","Sierra Leone Colony and Protectorate","British subject","United Kingdom of Great Britain and Ireland"
"Charles Wentworth Dilke","Kingdom of Great Britain","United Kingdom of Great Britain and Ireland","United Kingdom of Great Britain and Ireland"
"James Percy FitzPatrick","Cape Colony","South African people","Union of South Africa"
"Diana Morgan (screenwriter)","Cardiff","United Kingdom","United Kingdom"
"Diana Morgan (screenwriter)","United Kingdom","United Kingdom","United Kingdom"
"Hazel Adair (novelist)","United Kingdom","United Kingdom","United Kingdom"
"Hazel Adair (novelist)","England","United Kingdom","United Kingdom"
"Diana Morgan (screenwriter)","Wales","United Kingdom","United Kingdom"
"James Percy FitzPatrick","King William's Town","South African people","Union of South Africa"
"Diana Morgan (screenwriter)","Cathedral Road, Cardiff","United Kingdom","United Kingdom"
"Hazel Adair (novelist)","Norwich, Norfolk","United Kingdom","United Kingdom"
"Barrows Dunham","United States","United States","United States"
"Brian Blume","United States","United States","United States"
"Barrows Dunham","New Jersey","United States","United States"
"Brian Blume","Oak Park, Illinois","United States","United States"
"Barrows Dunham","Mount Holly Township, New Jersey","United States","United States"
"José Eustasio Rivera","Huila Department","Colombian people","United States"
"José Eustasio Rivera","Rivera, Huila","Colombian people","United States"
"Paul Edwin Zimmer","United States","United States","United States"
"José Eustasio Rivera","Colombia","Colombian people","United States"
"Constantin Negruzzi","Romania","Romanians","United Principalities of Moldavia and Wallachia"
"John Hamilton Reynolds","Shrewsbury","United Kingdom","United Kingdom of Great Britain and Ireland"
"Constantin Negruzzi","Trifești, Iași","Romanians","United Principalities of Moldavia and Wallachia"
"Constantin Negruzzi","Iași County","Romanians","United Principalities of Moldavia and Wallachia"
"John Hamilton Reynolds","Kingdom of Great Britain","United Kingdom","United Kingdom of Great Britain and Ireland"
"Constantin Negruzzi","Principality of Moldavia","Romanians","United Principalities of Moldavia and Wallachia"
"Constantin Negruzzi","Hermeziu","Romanians","United Principalities of Moldavia and Wallachia"
"Cornel Lengyel","United States","United States","United States"
"Cornel Lengyel","Connecticut","United States","United States"
"Cornel Lengyel","Fairfield, Connecticut","United States","United States"
"Ellen Tarry","Birmingham, Alabama","United States","United States"
"Ellen Tarry","United States","United States","United States"
"Murray Leinster","United States","Americans","United States"
"Murray Leinster","Virginia","Americans","United States"
"Murray Leinster","Norfolk, Virginia","Americans","United States"
"Nahum Korzhavin","Kiev","Russians","United States"
"Nahum Korzhavin","Soviet Union","Russians","United States"
"Nahum Korzhavin","Ukrainian SSR","Russians","United States"
"Angela Heywood","Deerfield, New Hampshire","Americans","United States"
"Angela Heywood","United States","Americans","United States"
"Lois Waisbrooker","United States","Americans","United States"
"Angela Heywood","New Hampshire","Americans","United States"
"Lois Waisbrooker","New York (state)","Americans","United States"
"Leon Surmelian","Trabzon","Armenian-American","United States"
"Leon Surmelian","Trebizond Vilayet","Armenian-American","United States"
"W. D. Snodgrass","Beaver Falls, Pennsylvania","Americans","United States"
"W. D. Snodgrass","Pennsylvania","Americans","United States"
"W. D. Snodgrass","United States","Americans","United States"
"Emily Barnelia Woodward","United States","United States","United States"
"Warren E. Preece","United States","United States","United States"
"Emily Barnelia Woodward","Vienna, Georgia","United States","United States"
"Warren E. Preece","Norwalk, Connecticut","United States","United States"
"Hakob Karapents","Iran","Iranian Armenians","United States"
"Hakob Karapents","Tabriz","Iranian Armenians","United States"
"Zygmunt Haupt","Kingdom of Galicia and Lodomeria","Poles","United States"
"Zygmunt Haupt","Ułaszkowce","Poles","United States"
"Albert Butz","Switzerland","United States","United States"
"Albert Butz","Switzerland","Switzerland","United States"
"Fitz-Greene Halleck","United States","United States","United States"
"Fitz-Greene Halleck","Connecticut","United States","United States"
"Fitz-Greene Halleck","Guilford, Connecticut","United States","United States"
"Henry Hardy Heins","Hollis, Queens","United States","United States"
"Henry Hardy Heins","United States","United States","United States"
"Otto Plath","German Empire","United States of America","United States"
"Otto Plath","Grabow","United States of America","United States"
"Otto Plath","Grand Duchy of Mecklenburg-Schwerin","United States of America","United States"
"Henry Hardy Heins","New York (state)","United States","United States"
"Henry Hardy Heins","New York City","United States","United States"
"Jack Shaheen","Pennsylvania","United States","United States"
"Jack Shaheen","United States","United States","United States"
"Jack Shaheen","Pittsburgh","United States","United States"
"Jan Lechoń","Congress Poland","Poland","United States"
"Jan Lechoń","Warsaw","Poland","United States"
"Charles L. Harness","United States","United States","United States"
"Charles L. Harness","Colorado City, Texas","United States","United States"
"John Menzies Macfarlane","Scotland","Scotland","United States"
"John Menzies Macfarlane","Stirling","Scotland","United States"
"Leah Bodine Drake","United States","United States","United States"
"Zaruhi Kalemkaryan","Constantinople","Armenian Americans","United States"
"Dokiya Humenna","Russian Empire","Ukrainians","United States"
"Dokiya Humenna","Zhashkiv","Ukrainians","United States"
"Zaruhi Kalemkaryan","Ottoman Empire","Armenian Americans","United States"
"Leah Bodine Drake","Chanute, Kansas","United States","United States"
"Dokiya Humenna","Cherkasy Oblast","Ukrainians","United States"
"Leah Bodine Drake","Kansas","United States","United States"
"R.T.M. Scott","Woodstock, Ontario","Canadian","United States"
"Dionysios Solomos","Zakynthos","Greeks","United States of the Ionian Islands"
"Dionysios Solomos","Ionian Sea","Greeks","United States of the Ionian Islands"
"Hoàng Cầm (poet)","Bac Giang","Vietnamese people","Vietnam"
"Anna Myszyńska","Upper Silesia","Silesians","Upper Silesia"
"Hoàng Cầm (poet)","Vietnam","Vietnamese people","Vietnam"
"Anna Myszyńska","Weimar Republic","Silesians","Upper Silesia"
"Anna Myszyńska","Kórnica","Silesians","Upper Silesia"
"Halima Xudoyberdiyeva","Sirdaryo Region","Uzbekistan","Uzbekistan"
"Halima Xudoyberdiyeva","Uzbek SSR","Uzbekistan","Uzbekistan"
"Bertilda Samper Acosta","Bogotá","Colombian people","Colombia"
"José María Samper","Honda, Tolima","Colombian people","Colombia"
"León de Greiff","Colombia","Colombian people","Colombia"
"León de Greiff","Medellín","Colombian people","Colombia"
"Bertilda Samper Acosta","Republic of New Granada","Colombian people","Colombia"
"José María Samper","Gran Colombia","Colombian people","Colombia"
"José María Samper","Tolima Department","Colombian people","Colombia"
"Bertilda Samper Acosta","Cundinamarca Department","Colombian people","Colombia"
"León de Greiff","Sovereign State of Antioquia","Colombian people","Colombia"
"Hildebrand Dezső Várkonyi","Austria-Hungary","Hungarian people","People's Republic of Hungary"
"Hildebrand Dezső Várkonyi","Kamenín","Hungarian people","People's Republic of Hungary"
"Zygmunt Gloger","Congress Poland","Poles","Congress Poland"
"Zygmunt Gloger","Tybory-Kamianka","Poles","Congress Poland"
"Ralph Sanchez","Sancti Spiritus, Cuba","Cuban-American","Coral Gables, Florida"
"Vinko Nikolić","Šibenik","Croats","Croatia"
"Vinko Nikolić","Austria-Hungary","Croats","Croatia"
"Vinko Nikolić","Kingdom of Dalmatia","Croats","Croatia"
"Florbela Espanca","Vila Viçosa","Portuguese people","Matosinhos"
"Aşıq Ümer","Kezlev","Crimean Tatars","Crimean Khanate"
"Aşıq Ümer","Crimean Khanate","Crimean Tatars","Crimean Khanate"
"Vladimir Admoni","Russia","Russian people","Russia"
"Ryurik Lonin","Soviet Union","Vepsians","Russia"
"Vladimir Admoni","St.Petersburg","Russian people","Russia"
"Ryurik Lonin","Russian SFSR","Vepsians","Russia"
"Ryurik Lonin","Karelian ASSR","Vepsians","Russia"
"Nikolai Ilbekov","Chuvashia","Chuvashia","Russia"
"Erlom Akhvlediani","Georgian SSR","Georgians","Russia"
"Erlom Akhvlediani","USSR","Georgians","Russia"
"Erlom Akhvlediani","Tbilisi","Georgians","Russia"
"Nikolai Ilbekov","Shemurshinsky District","Chuvashia","Russia"
"Hanna Yablonska","Soviet Union","Ukrainians","Russia"
"Hanna Yablonska","Odessa","Ukrainians","Russia"
"Hanna Yablonska","Ukrainian SSR","Ukrainians","Russia"
"Robert Wilhelm Ekman","Uusikaupunki","Finns","Russian Empire"
"Juhan Liiv","Russian Empire","Estonians","Russian Empire"
"Perch Proshian","Russian Empire","Armenians","Russian Empire"
"Juhan Liiv","Governorate of Livonia","Estonians","Russian Empire"
"Juhan Liiv","Kreis Dorpat","Estonians","Russian Empire"
"Juhan Liiv","Alatskivi","Estonians","Russian Empire"
"Perch Proshian","Erivan Governorate","Armenians","Russian Empire"
"Perch Proshian","Ashtarak","Armenians","Russian Empire"
"Robert Wilhelm Ekman","Sweden","Finns","Russian Empire"
"Davit Guramishvili","Kingdom of Kartli","Georgians","Russian Empire"
"Garlieb Merkel","Lēdurga Parish","Baltic German","Russian Empire"
"Mykhailo Kotsiubynsky","Vinnytsia","Ukrainians","Russian Empire"
"Theodore de Korwin Szymanowski","Congress Poland","Poles","Russian Empire"
"Theodore de Korwin Szymanowski","Mazovia","Poles","Russian Empire"
"Giorgi Tsereteli (writer)","Russian Empire","Georgian people","Russian Empire"
"Mykhailo Kotsiubynsky","Russian Empire","Ukrainians","Russian Empire"
"Garlieb Merkel","Russian Empire","Baltic German","Russian Empire"
"Giorgi Tsereteli (writer)","Gorisa","Georgian people","Russian Empire"
"Garlieb Merkel","Governorate of Livonia","Baltic German","Russian Empire"
"Garlieb Merkel","Sigulda Municipality","Baltic German","Russian Empire"
"Ghazaros Aghayan","Tiflis Governorate","Armenians","Russian Empire"
"Theodore de Korwin Szymanowski","Cygów","Poles","Russian Empire"
"Giorgi Tsereteli (writer)","Georgia-Imeretia Governorate","Georgian people","Russian Empire"
"Garlieb Merkel","Kreis Riga","Baltic German","Russian Empire"
"Ğabdulla Tuqay","Russian Empire","Russian Empire","Russian Empire"
"Ğabdulla Tuqay","Kazan Governorate","Russian Empire","Russian Empire"
"Ğabdulla Tuqay","Quşlawıç","Russian Empire","Russian Empire"
"Atis Kronvalds","Bunka parish","Latvian people","Russian Empire"
"Jivani","Russian Empire","Armenians","Russian Empire"
"Jacob Eichenbaum","Russian Empire","Galician Jews","Russian Empire"
"Jānis Poruks","Russian Empire","Latvian people","Russian Empire"
"Atis Kronvalds","Russian Empire","Latvian people","Russian Empire"
"Jacob Eichenbaum","Volhynian Governorate","Galician Jews","Russian Empire"
"Jānis Poruks","Governorate of Livonia","Latvian people","Russian Empire"
"Teodor Janković-Mirijevski","Austrian Empire","Serbs in Russia","Russian Empire"
"Jivani","Tiflis Governorate","Armenians","Russian Empire"
"Jacob Eichenbaum","Chervonohrad","Galician Jews","Russian Empire"
"Jivani","Kartsakhi","Armenians","Russian Empire"
"Jānis Poruks","Druviena parish","Latvian people","Russian Empire"
"Teodor Janković-Mirijevski","Sremska Kamenica","Serbs in Russia","Russian Empire"
"Jānis Poruks","Kreis Walk","Latvian people","Russian Empire"
"Sulkhan-Saba Orbeliani","Safavid Empire","Georgians","Russian Empire"
"Marianna Yablonskaya","Leningrad","Russian nationality","Russia"
"Marianna Yablonskaya","Soviet Union","Russian nationality","Russia"
"Sulkhan-Saba Orbeliani","Kingdom of Kartli (1484–1762)","Georgians","Russian Empire"
"Yakup Kulmiy","Russia","Bashkir people","Russia"
"Seyid Azim Shirvani","Russian Empire","Azerbaijani people","Russian Empire"
"Shaukat Galiev","USSR","Volga Tatars","Russia"
"Shaukat Galiev","Kazan Governorate","Volga Tatars","Russia"
"Yakup Kulmiy","Ishimbaysky District","Bashkir people","Russia"
"Seyid Azim Shirvani","Shamakhy","Azerbaijani people","Russian Empire"
"Shapi Kaziev","Makhachkala","Caucasian Avars","Russian Federation"
"Shapi Kaziev","Dagestan Autonomous Soviet Socialist Republic","Caucasian Avars","Russian Federation"
"Shapi Kaziev","Russian SFSR","Caucasian Avars","Russian Federation"
"John Menzies Macfarlane","Scotland","Scotland","Utah Territory"
"Nikifor Mran'ka","Russian Empire","Chuvashia","Chuvashia"
"Gerasim Pileš","Russian Empire","Chuvashia","Chuvashia"
"Nikolai Yut","Russian Empire","Chuvashia","Chuvashia"
"Nikolai Ilbekov","Chuvashia","Chuvashia","Chuvashia"
"John Menzies Macfarlane","Stirling","Scotland","Utah Territory"
"Alexander Artemiev","USSR","Chuvashia","Chuvashia"
"Nikolai Ilbekov","Shemurshinsky District","Chuvashia","Chuvashia"
"Nikolai Yut","Siner, Chuvash Republic","Chuvashia","Chuvashia"
"Gerasim Pileš","Man Toktash","Chuvashia","Chuvashia"
"Salah Jahin","Cairo","Egypt","Egypt"
"Vahan Tekeyan","Constantinople","Armenians","Egypt"
"Salah Jahin","Egypt","Egypt","Egypt"
"Vahan Tekeyan","Ottoman Empire","Armenians","Egypt"
"Václav Bolemír Nebeský","Austrian Empire","Czechs","Cisleithania"
"Václav Bolemír Nebeský","Kingdom of Bohemia","Czechs","Cisleithania"
"Václav Bolemír Nebeský","Kokořín","Czechs","Cisleithania"
"Honor Croome","England","England","England"
"Samuel Okoye","Amawbia","Demographics of Nigeria","England"
"Samuel Okoye","Nigeria","Demographics of Nigeria","England"
"Honor Croome","Kent","England","England"
"Honor Croome","Sevenoaks","England","England"
"Richard Blake Brown","United States","British people","England"
"Richard Blake Brown","Melrose, Massachusetts","British people","England"
"Robert Black (author)","England","United Kingdom","England"
"Robert Black (author)","London","United Kingdom","England"
"Edward Ellis Morris","British India","United Kingdom","England"
"Meary James Thurairajah Tambimuttu","Ceylon","United Kingdom","England"
"Meary James Thurairajah Tambimuttu","Sri Lanka","United Kingdom","England"
"Edward Ellis Morris","Madras","United Kingdom","England"
"Grant Allen","Canada West","Canadians","England"
"Angus MacPhail","United Kingdom","English people","England"
"Anne Killigrew","England","United Kingdom","England"
"Angus MacPhail","England","English people","England"
"Angus MacPhail","London","English people","England"
"Anne Killigrew","London","United Kingdom","England"
"Grant Allen","Wolfe Island (Ontario)","Canadians","England"
"Anne Killigrew","St Martin's Lane","United Kingdom","England"
"W. H. D. Rouse","Calcutta","United Kingdom","England"
"W. H. D. Rouse","British India","United Kingdom","England"
"Eric Chappelow","England","United Kingdom","England"
"Eric Chappelow","London","United Kingdom","England"
"Eric Chappelow","St George Hanover Square","United Kingdom","England"
"Francis Smith (judge)","Freetown","British subject","England"
"Francis Smith (judge)","Sierra Leone Colony and Protectorate","British subject","England"
